#GENERATED_BY	cgatools
#GENERATED_AT	2011-Sep-25 11:57:28.488765
#SOFTWARE_VERSION	2.0.0.32
#FORMAT_VERSION	2.0
#TYPE	SV-EVENTS

>EventId	Type	RelatedJunctionIds	MatePairCounts	FrequenciesInBaselineGenomeSet	OriginRegionChr	OriginRegionBegin	OriginRegionEnd	OriginRegionLength	OriginRegionStrand	DestinationRegionChr	DestinationRegionBegin	DestinationRegionEnd	DestinationRegionLength	DestinationRegionStrand	DisruptedGenes	ContainedGenes	GeneFusions	RelatedMobileElement	MobileElementChr	MobileElementBegin	MobileElementEnd	MobileElementStrand
166	tandem-duplication	2615	101	0.00	chr16	12990903	30078000	17087097	+						ALDOA;LOC100288794	ABCC1;ABCC6;ABCC6P1;ABCC6P2;ACSM1;ACSM2A;ACSM2B;ACSM3;ACSM5;ANKS4B;APOB48R;AQP8;ARHGAP17;ARL6IP1;ASPHD1;ATP2A1;ATXN2L;BFAR;BOLA2;C16orf45;C16orf52;C16orf53;C16orf54;C16orf62;C16orf63;C16orf65;C16orf82;C16orf88;C16orf92;CACNG3;CCDC101;CD19;CDIPT;CDR2;CHP2;CLN3;COG7;COQ7;CP110;CRYM;DCTN5;DCUN1D3;DNAH3;DOC2A;EARS2;EEF2K;EIF3C;EIF3CL;ERCC4;ERI2;ERN2;FAM57B;FLJ45256;GDE1;GGA2;GIYD2;GP2;GPR139;GPRC5B;GSG1L;GTF3C1;HIRIP3;HS3ST2;HS3ST4;IGSF6;IL21R;IL27;IL4R;IMAA;INO80E;IQCK;ITPRIPL2;JMJD5;KCTD13;KIAA0430;KIAA0556;KIF22;LAT;LCMT1;LOC100129184;LOC100129488;LOC100129767;LOC100131046;LOC100131998;LOC100132247;LOC100132542;LOC100132767;LOC100133019;LOC100190986;LOC100271836;LOC100287752;LOC100287779;LOC100287815;LOC100288072;LOC100288103;LOC100288162;LOC100288178;LOC100288191;LOC100288205;LOC100288226;LOC100288274;LOC100288299;LOC100288315;LOC100288332;LOC100288341;LOC100288368;LOC100288408;LOC100288419;LOC100288442;LOC100288452;LOC100288502;LOC100288546;LOC100288583;LOC100288650;LOC100288673;LOC100288704;LOC100288780;LOC100288847;LOC100289031;LOC100289092;LOC100289169;LOC100289283;LOC339047;LOC342293;LOC388237;LOC388242;LOC440345;LOC440354;LOC440356;LOC554206;LOC606724;LOC641298;LOC642778;LOC642799;LOC653390;LOC653786;LOC728276;LOC728734;LOC728741;LOC728804;LOC728809;LOC728888;LOC729993;LOC730060;LOC730079;LOC730092;LOC730153;LOC81691;LYRM1;MAZ;METTL9;MKL2;MPV17L;MVP;MYH11;NCRNA00169;NDE1;NDUFAB1;NFATC2IP;NOMO1;NOMO2;NOMO3;NPIP;NPIPL1;NPIPL3;NSMCE1;NTAN1;NUPR1;OTOA;PALB2;PARN;PDILT;PDXDC1;PKD1P1;PLA2G10;PLK1;POLR3E;PRKCB;PRRT2;QPRT;RABEP2;RBBP6;RPS15A;RRN3;RUNDC2B;RUNDC2C;SBK1;SCNN1B;SCNN1G;SEZ6L2;SH2B1;SLC5A11;SLC7A5P1;SMG1;SPN;SPNS1;SULT1A1;SULT1A2;SULT1A4;SYT17;TAOK2;THUMPD1;TMC5;TMC7;TMEM159;TMEM219;TNRC6A;TUFM;UBFD1;UMOD;UQCRC2;USP31;VWA3A;XPO6;XYLT1;ZG16;ZKSCAN2;ZP2						
167	tandem-duplication	2616	25	0.54	chr16	13774131	13774470	339	+													
168	complex	2728;9148	3;40	0.00;0.00											DPYD;IQSEC2;SEC63		SEC63/IQSEC2					
169	complex	2733;4367;5113	3;41;7	0.00;0.98;0.17											BAGE2;BAGE3;MLL3		BAGE2/MLL3;BAGE3/MLL3;MLL3/BAGE2;MLL3/BAGE3					
170	complex	2821;3845;4830;6406;6851;8829	3;67;16;7;116;110	0.46;1.00;0.54;0.04;0.33;1.00																		
171	tandem-duplication	2869	20	0.60	chr15	101662206	101662302	96	+													
172	complex	2872;4883;4884	64;45;3	0.42;0.42;0.00																		
173	tandem-duplication	2873	21	0.00	chr15	90682156	90833576	151420	+							C15orf58;CIB1;NGRN;SEMA4B;TTLL13						
174	tandem-duplication	2874	88	0.00	chr15	85479701	86034075	554374	+						AKAP13;SLC28A1	LOC100133220;LOC642423;LOC642935;LOC727858;LOC728121;PDE8A	AKAP13/SLC28A1					
175	tandem-duplication	2877	52	0.35	chr15	52816162	52817050	888	+						MYO5A							
176	distal-duplication	2881;4945	17;5	0.35;0.00	chr14	106690968	106691473	505	+	chr14	107182688	107183505	817	+								
177	tandem-duplication	2884	78	1.00	chr14	107161673	107161791	118	+													
178	tandem-duplication	2888	30	1.00	chr14	106049055	106049315	260	+													
179	tandem-duplication	2890	290	0.87	chr14	105628815	105629060	245	+						JAG2							
180	tandem-duplication	2892	120	1.00	chr14	104362889	104363126	237	+													
181	tandem-duplication	2893	432	0.00	chr14	104008496	104009428	932	+													
182	tandem-duplication	2895	30	1.00	chr14	100993048	100993310	262	+						WDR25							
183	tandem-duplication	2897	178	0.00	chr14	100001112	100124680	123568	+						CCDC85C;HHIPL1							
184	tandem-duplication	2901	253	0.00	chr14	68768906	69087863	318957	+						RAD51L1							
185	tandem-duplication	2907	13	1.00	chr14	66258294	66258410	116	+													
186	tandem-duplication	2908	90	0.00	chr14	64584452	64841074	256622	+						SYNE2	ESR2;LOC441687;SYNE2						
187	tandem-duplication	2909	111	0.00	chr14	50398312	50495037	96725	+							C14orf182						
188	tandem-duplication	2910	65	1.00	chr14	50192040	50192356	316	+						KLHDC1							
189	tandem-duplication	2911	66	0.00	chr14	39602840	39812002	209162	+						CTAGE5;SIP1	LOC100288846;MIA2;PNN;TRAPPC6B	CTAGE5/SIP1					
190	tandem-duplication	2916	140	0.00	chr13	103080851	103454171	373320	+						BIVM	C13orf27;C13orf39;KDELC1;LOC643677;TPP2						
191	tandem-duplication	2917	23	1.00	chr13	98504983	98505330	347	+													
192	complex	2919;5269	243;6	0.90;0.92																		
193	tandem-duplication	2921	122	0.00	chr13	33102536	33175860	73324	+						N4BP2L2;PDS5B							
194	tandem-duplication	2922	13	0.90	chr13	27546909	27547687	778	+													
195	tandem-duplication	2924	127	0.00	chr12	119605741	119611831	6090	+													
196	tandem-duplication	2925	111	0.00	chr12	113856970	113923577	66607	+							LHX5;LOC100287933;SDSL						
197	tandem-duplication	2926	105	0.00	chr12	93907737	93908159	422	+													
198	distal-duplication	2927;5318	26;43	0.69;0.71	chr12	87205700	87205821	121	+	chr12	87204797	87204808	11	+	MGAT4C							
199	tandem-duplication	2928	132	0.00	chr12	80154889	80162769	7880	+													
200	complex	2941;5714	4;501	0.02;0.96											IL2RA							
201	complex	2955;5353;8242	17;8;31	0.00;0.00;0.00																		
202	tandem-duplication	2958	104	0.00	chr12	27640810	27704544	63734	+						C12orf70;PPFIBP1		PPFIBP1/C12orf70					
203	tandem-duplication	2960	210	0.00	chr12	11883143	11913864	30721	+						ETV6							
204	interchromosomal	2965	41	0.00	chr11	5579466	5579466	0	-	chr12	28770110	28770110	0	-								
205	tandem-duplication	2969	222	0.21	chr11	131924267	131930304	6037	+						NTM							
206	tandem-duplication	2970	15	0.67	chr11	131550281	131550683	402	+						NTM							
207	distal-duplication	2974;5400	81;7	0.67;0.62	chr11	119932176	119932287	111	+	chr11	119932656	119932657	1	+								
208	tandem-duplication	2975	148	0.00	chr11	118796629	118811353	14724	+													
209	tandem-duplication	2977	68	0.00	chr11	111787492	111849252	61760	+						DIXDC1	C11orf52						
210	tandem-duplication	2978	45	0.00	chr11	108251987	108357961	105974	+						KDELC2	C11orf65						
211	tandem-duplication	2981	40	0.00	chr11	77711864	77766654	54790	+							KCTD14						
212	tandem-duplication	2994	39	1.00	chr11	70217430	70217674	244	+						PPFIA1							
213	tandem-duplication	2995	63	1.00	chr11	68731454	68731647	193	+													
214	tandem-duplication	2996	125	0.00	chr11	63729934	63791604	61670	+						MACROD1	COX8A;OTUB1						
215	distal-duplication	2997;5454	8;56	0.58;0.92	chr11	63701654	63701944	290	+	chr11	63698906	63698909	3	+								
216	tandem-duplication	2998	121	0.00	chr11	57316199	57539091	222892	+						CTNND1;SMTNL1	C11orf31;CLP1;LOC643376;MED19;SERPING1;TMX2;UBE2L6;YPEL4;ZDHHC5	CTNND1/SMTNL1					
217	tandem-duplication	3019	39	1.00	chr11	642750	642853	103	+													
218	tandem-duplication	3033	39	0.62	chr10	133652111	133652343	232	+													
219	tandem-duplication	3034	14	0.98	chr10	125919507	125919707	200	+													
220	distal-duplication	3036;5588	43;84	0.79;0.79	chr10	97206914	97207055	141	+	chr10	97208025	97208028	3	+	SORBS1							
221	complex	3037;8383	132;5	0.00;0.00											MAT1A							
222	tandem-duplication	3113	123	0.00	chr10	30131740	30405373	273633	+							KIAA1462						
223	tandem-duplication	3114	93	0.00	chr10	30000066	30000793	727	+						SVIL							
224	complex	3115;5693;8416	40;36;4	0.37;0.42;0.00											C10orf51;LOC731789		LOC731789/C10orf51					
225	distal-duplication	3125;5716	24;21	0.98;0.83	chr10	5324801	5325036	235	+	chr10	5202144	5202144	0	+								
226	tandem-duplication	3126	25	0.96	chr10	3453357	3453551	194	+													
227	tandem-duplication	3129	17	1.00	chr9	136453671	136453835	164	+													
228	tandem-duplication	3131	29	1.00	chr9	132158669	132159136	467	+													
229	tandem-duplication	3132	596	0.00	chr9	131756888	131763808	6920	+						NUP188							
230	tandem-duplication	3134	302	0.00	chr9	114876781	115094909	218128	+						ROD1;SUSD1		SUSD1/ROD1					
231	tandem-duplication	3135	45	0.00	chr9	103163609	103226174	62565	+							C9orf30						
232	tandem-duplication	3162	52	1.00	chr9	34681480	34681976	496	+													
233	tandem-duplication	3163	18	0.00	chr9	27320053	27369384	49331	+						MOBKL2B							
234	tandem-duplication	3164	292	0.00	chr9	12889267	13056058	166791	+													
235	tandem-duplication	3173	202	0.00	chr8	102330593	102490257	159664	+							NACAP1						
236	tandem-duplication	3175	46	0.00	chr8	79762159	79787956	25797	+													
237	tandem-duplication	3179	201	0.00	chr8	60135260	60136532	1272	+													
238	complex	3181;3182;3183;5903;5904;5905	9;209;164;12;709;115	0.00;1.00;0.00;0.08;1.00;1.00																		
239	tandem-duplication	3184	70	0.00	chr8	54869699	55026914	157215	+						RGS20	LOC100131254;LYPLA1;TCEA1						
240	tandem-duplication	3185	14	0.87	chr8	52609205	52609430	225	+						PXDNL							
241	tandem-duplication	3190	61	0.00	chr8	40047558	40048423	865	+													
242	tandem-duplication	3191	55	0.00	chr8	6493304	6599699	106395	+						AGPAT5;MCPH1		AGPAT5/MCPH1					
243	tandem-duplication	3192	144	0.00	chr8	5923316	5999493	76177	+													
244	complex	3193;5985;5986	58;65;11	0.50;0.96;0.96																		
245	tandem-duplication	3194	29	0.69	chr8	1792506	1792631	125	+						ARHGEF10							
246	tandem-duplication	3195	74	0.88	chr8	1114101	1114373	272	+													
247	tandem-duplication	3203	73	0.00	chr7	147777653	147783482	5829	+						CNTNAP2							
248	complex	3210;8111	8;17	0.00;0.00											PHACTR1							
249	complex	3242;5957;6009;6010;8579	7;11;17;7;3	0.10;0.48;0.50;0.29;0.04																		
250	complex	3246;3247;3248	3;17;19	0.12;0.85;0.94																		
251	complex	3250;6014;6015;8626	33;22;15;3	0.62;0.54;0.54;0.00																		
252	distal-duplication	3253;6056	51;38	1.00;1.00	chr7	100550585	100550736	151	+	chr7	100551245	100551246	1	+	MUC3A							
253	complex	3254;6061	10;63	0.44;0.83																		
254	tandem-duplication	3255	18	0.00	chr7	72900826	73104503	203677	+						BAZ1B;WBSCR22	BCL7B;DNAJC30;LOC100289307;LOC100289339;MLXIPL;TBL2;VPS37D						
255	tandem-duplication	3256	154	0.00	chr7	69960109	69995547	35438	+						AUTS2							
256	complex	3257;6078;6079;7974	23;58;5;14	0.69;1.00;1.00;0.88											NCF4							
257	tandem-duplication	3277	21	0.00	chr7	24394607	24411429	16822	+													
258	tandem-duplication	3281	34	1.00	chr7	606027	606314	287	+						PRKAR1B							
259	complex	3282;3283;7027	12;3;4	0.67;0.67;0.00											MLPH							
260	tandem-duplication	3286	11	0.81	chr6	169314417	169314491	74	+													
261	tandem-duplication	3291	11	0.88	chr6	160877751	160956583	78832	+						LOC100289195;LPA	LPAL2	LOC100289195/LPA					
262	complex	3293;8740	6;16	0.96;0.00																		
263	tandem-duplication	3295	22	0.00	chr6	149507554	149976996	469442	+							C6orf72;KATNA1;MAP3K7IP2;PPIL4;SUMO4;ZC3H12D						
264	distal-duplication	3296;6205	139;112	0.60;0.62	chr6	119011718	119012288	570	+	chr6	119013926	119013927	1	+								
265	complex	3298;6211	44;3	0.33;0.58																		
266	complex	3308;6242;6243	63;154;94	0.63;0.00;0.63											C6orf142							
267	tandem-duplication	3312	87	0.00	chr6	41202270	41687426	485156	+						TFEB;TREML4	FOXP4;MDFI;NCR2;TREM1;TREML2P						
268	tandem-duplication	3313	178	0.00	chr6	41368540	41462314	93774	+													
269	tandem-duplication	3315	48	0.00	chr6	38836451	38929370	92919	+						DNAH8							
270	tandem-duplication	3317	204	0.69	chr6	35754560	35766785	12225	+						C6orf127	CLPS						
271	complex	3318;3319;6274;6277;6278;6279	16;4;3;69;7;12	0.67;0.13;0.00;0.83;0.27;0.81																		
272	complex	3320;6280	10;9	0.83;0.65																		
273	complex	3321;6281;6282	49;50;10	0.65;0.65;0.52																		
274	complex	3322;3330;6292	23;4;11	0.67;0.33;0.40																		
275	complex	3324;6287;6288	4;18;5	0.23;0.69;0.17																		
276	complex	3325;3328	12;8	0.83;0.33											HLA-DRB5							
277	complex	3333;6303;6304;6305	3;18;5;117	0.06;0.31;0.00;0.85											HLA-A							
278	complex	3334;6300;6302	5;16;3	0.00;0.25;0.00																		
279	complex	3335;6301	54;13	0.12;0.08																		
280	complex	3336;3337;6310;6311	26;7;48;5	0.00;0.00;0.00;0.00																		
281	tandem-duplication	3338	75	0.00	chr6	11283234	11465878	182644	+						NEDD9							
282	complex	3340;6350	6;116	0.94;0.90											MAN1A1							
283	tandem-duplication	3341	78	0.00	chr6	2101446	2119306	17860	+						GMDS							
284	tandem-duplication	3342	151	0.00	chr6	1809869	1864546	54677	+						GMDS							
285	tandem-duplication	3344	15	0.92	chr6	1053869	1054267	398	+						LOC285768							
286	tandem-duplication	3346	143	0.00	chr5	174475150	174536274	61124	+													
287	distal-duplication	3349;6370	358;272	0.94;0.94	chr5	143512488	143512867	379	+	chr5	143515047	143515051	4	+								
288	complex	3357;4409	55;222	1.00;1.00																		
289	complex	3435;7535	15;13	0.98;0.94																		
290	complex	3590;9082	3;47	0.00;0.00											PEX11B							
291	inversion	3603;9774	20;15	0.00;1.00	chr1	93262156	93262350	194	-	chr1	93262155	93262494	339	+								
292	inversion	3656;9805	11;359	0.44;0.88	chr1	44059312	44059886	574	-	chr1	44059296	44059933	637	+	PTPRF							
293	probable-inversion	3673	28	0.96	chr1	31971541	31971648	107	-													
294	complex	3679;4224	20;10	0.00;0.69																		
295	complex	3680;3681	78;7	0.83;0.83																		
296	complex	3682;9081;9084;9165	8;3;15;15	0.35;0.15;0.73;0.38											NBPF1;NBPF3							
297	complex	3683;9080;9248;9831	4;3;6;15	0.00;0.00;0.12;0.23											PTPN9							
298	tandem-duplication	3943	77	0.00	chr5	37047480	37139800	92320	+						C5orf42;NIPBL							
299	tandem-duplication	3945	12	0.85	chr5	35708661	35708808	147	+						SPEF2							
300	tandem-duplication	3947	13	0.58	chr5	3660045	3660333	288	+													
301	tandem-duplication	3948	22	0.37	chr5	2490308	2490588	280	+													
302	tandem-duplication	3950	16	0.31	chr5	376618	376667	49	+						AHRR							
303	tandem-duplication	3958	159	0.00	chr4	146078807	146506197	427390	+						OTUD4	LOC100131639;LOC100287121;OTUD4;SMAD1						
304	tandem-duplication	3961	88	0.00	chr4	91821969	91857590	35621	+						KIAA1680							
305	tandem-duplication	3962	81	0.10	chr4	90101870	90107393	5523	+													
306	tandem-duplication	3963	144	0.00	chr4	82276415	82382612	106197	+						RASGEF1B							
307	tandem-duplication	3965	34	0.00	chr4	78984680	79019757	35077	+						FRAS1							
308	tandem-duplication	3977	153	0.00	chr4	40769425	40820601	51176	+						APBB2;NSUN7							
309	complex	3978;3979;6950;6951	23;6;10;15	0.38;0.37;0.38;0.38																		
310	tandem-duplication	3980	38	0.00	chr4	15625277	15717301	92024	+						BST1;FBXL5	LOC285550						
311	tandem-duplication	3981	26	0.00	chr4	13435472	13869403	433931	+						RAB28	BOD1L;LOC285548;NKX3-2						
312	distal-duplication	3987;6977	229;215	0.77;0.77	chr3	194546257	194546429	172	+	chr3	194543291	194543309	18	+								
313	complex	3988;9511	12;7	0.69;0.08																		
314	distal-duplication	3989;7004	38;19	0.21;0.21	chr3	140621107	140621377	270	+	chr3	140622358	140622472	114	+								
315	tandem-duplication	3992	220	0.00	chr3	129291850	129419911	128061	+						PLXND1;TMCC1	TMCC1	PLXND1/TMCC1					
316	tandem-duplication	3993	15	0.00	chr3	128380416	128414869	34453	+													
317	complex	3995;7037	134;60	0.52;0.52																		
318	tandem-duplication	3997	34	0.96	chr3	76014620	76014737	117	+													
319	tandem-duplication	4002	80	0.46	chr3	66059937	66060544	607	+													
320	tandem-duplication	4003	178	0.00	chr3	57174972	57280802	105830	+						APPL1;IL17RD	HESX1						
321	tandem-duplication	4004	84	0.00	chr3	56469426	56474780	5354	+						ERC2							
322	tandem-duplication	4006	62	0.00	chr3	49435670	49585039	149369	+						RHOA	AMT;DAG1;LOC100289156;NICN1;TCTA						
323	complex	4007;7052	3;93	0.02;1.00																		
324	tandem-duplication	4008	178	0.00	chr3	9506577	10607691	1101114	+						SETD5	ARPC4;ATP2B2;BRPF1;C3orf10;C3orf24;C3orf42;CAMK1;CIDEC;CIDECP;CPNE9;CRELD1;FANCD2;GHRL;GHRLOS;IL17RC;IL17RE;IRAK2;JAGN1;LHFPL4;LOC100288640;LOC100289441;LOC401052;LOC442075;MTMR14;OGG1;PRRT3;RPUSD3;SEC13;TADA3L;TATDN2;TMEM111;TTLL3;VHL						
325	tandem-duplication	4009	14	0.19	chr3	5606877	5606956	79	+													
326	tandem-duplication	4011	17	0.42	chr2	241726025	241726252	227	+						KIF1A							
327	tandem-duplication	4014	194	0.00	chr2	240394807	240440590	45783	+													
328	tandem-duplication	4015	59	0.00	chr2	222498512	223155356	656844	+						PAX3	LOC646644						
329	tandem-duplication	4016	70	0.00	chr2	203281191	203286674	5483	+						BMPR2							
330	distal-duplication	4049;7175	68;73	0.79;0.79	chr2	125768248	125768401	153	+	chr2	125766561	125766561	0	+								
331	distal-duplication	4051;7178	75;39	0.96;0.96	chr2	120417079	120417200	121	+	chr2	120418488	120418498	10	+								
332	tandem-duplication	4052	188	0.60	chr2	120282782	120283144	362	+													
333	tandem-duplication	4056	189	0.00	chr2	105566708	105891156	324448	+						TGFBRAP1	GPR45;LOC100288263;MRPS9						
334	interchromosomal	4178	298	0.00	chr1	31410877	31410877	0	-	chr6	42248252	42248252	0	-	PUM1;TRERF1		PUM1/TRERF1					
335	complex	4181;7354;9616	116;61;10	1.00;1.00;0.98																		
336	tandem-duplication	4182	96	0.00	chr2	10237807	10322136	84329	+						C2orf48	RRM2						
337	tandem-duplication	4188	26	1.00	chr1	210827225	210827527	302	+						HHAT							
338	complex	4190;9660	12;3	0.25;0.00																		
339	tandem-duplication	4191	10	0.37	chr1	177388365	177388568	203	+													
340	distal-duplication	4205;9091	7;22	0.17;0.00	chr1	144913347	144954613	41266	+	chr1	144679947	144680038	91	+	LOC653513;NBPF20;PDE4DIP		LOC653513/PDE4DIP;PDE4DIP/LOC653513					
341	complex	4216;4225;9762;9830	3;7;11;6	0.00;0.12;0.17;0.02											NBPF1;NBPF3							
342	distal-duplication	4217;9108	4;15	0.10;0.37	chr1	89598692	89599174	482	+	chr1	89651764	89652249	485	+	GBP4;GBP7		GBP4/GBP7;GBP7/GBP4					
343	tandem-duplication	4219	211	0.58	chr1	56996032	56996346	314	+						LOC100288348;PPAP2B							
344	tandem-duplication	4220	10	0.79	chr1	55468571	55468686	115	+						BSND							
345	tandem-duplication	4222	17	0.37	chr1	39969950	39970411	461	+						BMP8A							
346	tandem-duplication	4223	94	0.00	chr1	37820920	38404681	583761	+						INPP5B	C1orf109;C1orf122;C1orf149;CDCA8;DNALI1;EPHA10;GNL2;LOC100287787;LOC728431;MANEAL;MTF1;RSPO1;SNIP1;YRDC;ZC3H12A						
347	complex	4226;9210	14;4	0.96;0.00																		
348	tandem-duplication	4228	12	0.90	chr1	4999483	4999745	262	+													
349	tandem-duplication	4230	92	1.00	chr1	3418554	3418678	124	+						MEGF6							
350	complex	4232;9189	5;22	0.04;0.87											CDC2L1;CDC2L2		CDC2L1/CDC2L2;CDC2L2/CDC2L1					
351	deletion	4236	25	0.10	chrX	114542524	114544513	1989	+													
352	deletion	4237	29	0.96	chrX	112877029	112877360	331	+													
353	deletion	4240	60	0.00	chrX	100566284	100567621	1337	+													
354	deletion	4241	54	0.58	chrX	95050847	95051480	633	+													
355	deletion	4242	130	0.37	chrX	92796299	92801507	5208	+													
356	deletion	4243	272	0.60	chrX	90283359	90284088	729	+													
357	deletion	4245	22	0.56	chrX	86286774	86287227	453	+													
358	deletion	4246	86	0.29	chrX	86279051	86280136	1085	+													
359	deletion	4247	60	0.83	chrX	85605177	85609869	4692	+						DACH2							
360	deletion	4249	50	0.52	chrX	81096648	81102699	6051	+													
361	deletion	4250	22	0.50	chrX	81042503	81043083	580	+													
362	deletion	4252	336	0.81	chrX	77696856	77697454	598	+													
363	deletion	4253	71	0.52	chrX	77121481	77123962	2481	+						MAGT1							
364	deletion	4254	21	0.00	chrX	76858170	76859193	1023	+						ATRX							
365	deletion	4299	19	0.37	chrX	32987322	32989079	1757	+						DMD							
366	deletion	4301	29	1.00	chrX	16427696	16428229	533	+													
367	deletion	4302	102	1.00	chrX	10738641	10788721	50080	+						MID1							
368	deletion	4303	93	1.00	chrX	7623871	7673896	50025	+													
369	deletion	4305	65	0.83	chrX	5055342	5057498	2156	+													
370	deletion	4308	24	0.65	chrX	1722585	1722964	379	+						ASMT							
371	deletion	4309	21	0.42	chrX	1527058	1529263	2205	+						ASMTL;NCRNA00105							
372	deletion	4311	12	0.04	chrX	1437892	1439089	1197	+													
373	deletion	4312	16	0.00	chrX	1361773	1362541	768	+													
374	deletion	4314	196	0.00	chr22	50718085	50718649	564	+						PLXNB2							
375	deletion	4315	289	0.27	chr22	49715779	49717444	1665	+													
376	deletion	4321	70	0.46	chr22	43101594	43102346	752	+						A4GALT							
377	complex	4322;4326	3;36	0.00;0.12																		
378	deletion	4323	75	0.37	chr22	39294108	39298688	4580	+													
379	deletion	4324	44	0.77	chr22	37143306	37148032	4726	+													
380	deletion	4325	53	0.60	chr22	35645166	35646141	975	+													
381	deletion	4328	130	0.15	chr22	25450079	25452684	2605	+						KIAA1671							
382	deletion	4329	257	0.29	chr22	23576857	23577813	956	+						BCR;LOC100288030							
383	deletion	4331	72	0.27	chr22	20950623	20953840	3217	+													
384	deletion	4332	11	0.60	chr22	18283915	18284237	322	+						MICAL3							
385	deletion	4333	24	0.23	chr22	18141832	18144765	2933	+						BCL2L13							
386	deletion	4335	16	0.92	chr22	18057869	18060575	2706	+						LOC100288065;SLC25A18							
387	deletion	4336	14	0.77	chr22	18047375	18047733	358	+						LOC100288065;SLC25A18							
388	deletion	4337	79	0.31	chr21	47802040	47804609	2569	+						PCNT							
389	deletion	4339	251	0.85	chr21	44970368	44973304	2936	+						HSF2BP							
390	deletion	4340	13	0.44	chr21	43703917	43704402	485	+						ABCG1							
391	complex	4342;4343;5101	38;5;8	1.00;1.00;0.21											PRDM15							
392	deletion	4344	15	0.92	chr21	42402896	42403217	321	+													
393	deletion	4347	27	1.00	chr21	39590542	39590888	346	+													
394	deletion	4348	15	1.00	chr21	39481567	39481937	370	+													
395	deletion	4349	22	0.38	chr21	36072766	36073629	863	+						CLIC6							
396	deletion	4352	23	0.77	chr21	30552225	30552579	354	+													
397	deletion	4353	46	0.94	chr21	30263750	30264299	549	+													
398	deletion	4356	33	0.12	chr21	23654900	23666003	11103	+													
399	deletion	4357	47	0.00	chr21	20268296	20269412	1116	+													
400	deletion	4358	126	0.29	chr21	19326820	19329329	2509	+													
401	deletion	4359	85	0.50	chr21	18612332	18613636	1304	+													
402	complex	4366;5112	19;18	0.81;0.54											MLL3							
403	deletion	4383	21	0.75	chr21	9834344	9835502	1158	+													
404	deletion	4384	14	0.85	chr20	62722164	62722711	547	+						OPRL1							
405	deletion	4385	168	0.73	chr20	62596219	62597496	1277	+						ZNF512B							
406	deletion	4387	48	0.56	chr20	62267617	62268128	511	+													
407	deletion	4390	445	0.37	chr20	61304250	61305139	889	+													
408	deletion	4392	189	0.00	chr20	60632704	60634027	1323	+						TAF4							
409	complex	4394;4395	42;5	0.13;0.13											LOC100287547							
410	deletion	4397	206	0.69	chr20	54434619	54440625	6006	+													
411	deletion	4398	134	0.00	chr20	53454094	53485886	31792	+													
412	deletion	4399	20	0.85	chr20	53292665	53292979	314	+													
413	deletion	4400	276	0.00	chr20	52840487	52848251	7764	+													
414	deletion	4401	76	0.33	chr20	44535477	44535913	436	+						PLTP							
415	deletion	4405	13	0.88	chr20	33621666	33621988	322	+						TRPC4AP							
416	deletion	4406	56	0.63	chr20	33241859	33244284	2425	+						PIGU							
417	deletion	4407	174	1.00	chr20	32815938	32819235	3297	+													
418	complex	4413;8922	12;9	0.92;0.87																		
419	deletion	4414	116	0.62	chr20	25583185	25583675	490	+													
420	deletion	4417	32	1.00	chr20	23103303	23103632	329	+													
421	deletion	4418	11	0.48	chr20	22655339	22655667	328	+													
422	complex	4420;4421	22;8	0.81;0.81																		
423	deletion	4427	11	0.79	chr20	11517278	11517601	323	+													
424	deletion	4428	59	0.00	chr20	9133813	9183002	49189	+						PLCB4							
425	deletion	4429	216	0.69	chr20	7096784	7102849	6065	+													
426	deletion	4430	31	0.98	chr20	6150959	6151291	332	+													
427	deletion	4431	246	0.13	chr20	6025725	6027643	1918	+						LRRN4							
428	deletion	4434	10	0.35	chr20	3021830	3022118	288	+													
429	deletion	4436	279	0.88	chr20	2803155	2806417	3262	+													
430	deletion	4438	257	0.71	chr20	1389146	1390817	1671	+													
431	deletion	4440	12	0.94	chr19	56041811	56042147	336	+						SBK2							
432	deletion	4442	28	0.92	chr19	55604746	55605690	944	+						PPP1R12C							
433	deletion	4446	125	1.00	chr19	53689186	53691968	2782	+						ZNF665							
434	deletion	4447	10	0.54	chr19	53616479	53616797	318	+						ZNF415							
435	deletion	4448	13	0.85	chr19	53422214	53424224	2010	+													
436	deletion	4449	41	0.00	chr19	53096008	53097610	1602	+													
437	deletion	4450	39	0.25	chr19	52888816	52891386	2570	+						LOC400713							
438	complex	4451;7895	182;6	0.98;0.60																		
439	deletion	4452	18	0.35	chr19	51077891	51082513	4622	+													
440	deletion	4454	15	0.62	chr19	46278669	46279643	974	+						DMPK							
441	deletion	4458	15	0.79	chr19	37046195	37046511	316	+						ZNF529							
442	deletion	4460	54	0.12	chr19	35360581	35361400	819	+													
443	deletion	4466	78	0.85	chr19	31287505	31289778	2273	+													
444	deletion	4470	167	1.00	chr19	30388811	30393115	4304	+													
445	deletion	4471	24	0.19	chr19	30316778	30317269	491	+													
446	complex	4472;4956	11;9	0.77;0.94																		
447	deletion	4502	23	0.06	chr19	23893699	23895813	2114	+													
448	deletion	4503	13	0.71	chr19	23320803	23321120	317	+						ZNF730							
449	deletion	4505	34	0.69	chr19	23140801	23142919	2118	+													
450	deletion	4514	269	0.75	chr19	15046392	15049478	3086	+													
451	deletion	4515	37	0.77	chr19	14732345	14734142	1797	+						EMR3							
452	deletion	4516	21	0.44	chr19	13775710	13776872	1162	+													
